model,recall,precision
VGG16,0.5769230769230769,0.9615384615384616
VGG16,0.5743589743589743,0.9613733905579399
VGG16,0.5717948717948718,0.9612068965517241
VGG16,0.5692307692307692,0.961038961038961
VGG16,0.5666666666666667,0.9608695652173913
VGG16,0.5641025641025641,0.9606986899563319
VGG16,0.5641025641025641,0.9649122807017544
VGG16,0.5615384615384615,0.9647577092511013
VGG16,0.558974358974359,0.9646017699115044
VGG16,0.5564102564102564,0.9644444444444444
VGG16,0.5538461538461539,0.9642857142857143
VGG16,0.5512820512820513,0.9641255605381166
VGG16,0.5487179487179488,0.963963963963964
VGG16,0.5461538461538461,0.9638009049773756
VGG16,0.5435897435897435,0.9636363636363636
VGG16,0.541025641025641,0.9634703196347032
VGG16,0.5384615384615384,0.963302752293578
VGG16,0.5358974358974359,0.9631336405529954
VGG16,0.5333333333333333,0.9629629629629629
VGG16,0.5307692307692308,0.9627906976744186
VGG16,0.5282051282051282,0.9626168224299065
VGG16,0.5256410256410257,0.9624413145539906
VGG16,0.5230769230769231,0.9622641509433962
VGG16,0.5205128205128206,0.9620853080568721
VGG16,0.517948717948718,0.9619047619047619
VGG16,0.5153846153846153,0.9617224880382775
VGG16,0.5128205128205128,0.9615384615384616
VGG16,0.5102564102564102,0.961352657004831
VGG16,0.5076923076923077,0.9611650485436893
VGG16,0.5051282051282051,0.9609756097560975
VGG16,0.5025641025641026,0.9607843137254902
VGG16,0.5,0.9605911330049262
VGG16,0.49743589743589745,0.9603960396039604
VGG16,0.4948717948717949,0.9601990049751243
VGG16,0.49230769230769234,0.96
VGG16,0.4897435897435897,0.9597989949748744
VGG16,0.48717948717948717,0.9595959595959596
VGG16,0.4846153846153846,0.9593908629441624
VGG16,0.4846153846153846,0.9642857142857143
VGG16,0.48205128205128206,0.9641025641025641
VGG16,0.4794871794871795,0.9639175257731959
VGG16,0.47692307692307695,0.9637305699481865
VGG16,0.47435897435897434,0.9635416666666666
VGG16,0.4717948717948718,0.9633507853403142
VGG16,0.46923076923076923,0.9631578947368421
VGG16,0.4666666666666667,0.9629629629629629
VGG16,0.4641025641025641,0.9627659574468085
VGG16,0.46153846153846156,0.9625668449197861
VGG16,0.45897435897435895,0.9623655913978495
VGG16,0.4564102564102564,0.9621621621621622
VGG16,0.45384615384615384,0.9619565217391305
VGG16,0.4512820512820513,0.9617486338797814
VGG16,0.44871794871794873,0.9615384615384616
VGG16,0.4461538461538462,0.9613259668508287
VGG16,0.44358974358974357,0.9611111111111111
VGG16,0.441025641025641,0.9608938547486033
VGG16,0.43846153846153846,0.9606741573033708
VGG16,0.4358974358974359,0.96045197740113
VGG16,0.43333333333333335,0.9602272727272727
VGG16,0.43333333333333335,0.9657142857142857
VGG16,0.4307692307692308,0.9655172413793104
VGG16,0.4282051282051282,0.9653179190751445
VGG16,0.4256410256410256,0.9651162790697675
VGG16,0.4230769230769231,0.9649122807017544
